id,smiles
1717,Nc1ccc(NC(=O)c2nc[nH]c2C(=O)O)cc1
1715,O=C(Nc1ccccn1)c1nc[nH]c1C(=O)O
1714,O=C(Nc1ccc(F)cc1)c1nc[nH]c1C(=O)O
1813,CC(=O)c1cccc(-c2c(C)noc2C)c1
1668,O=C(C=Cc1ccccc1Cl)c1ccc(O)cc1O
1667,O=C(C=Cc1cc(O)ccc1O)c1ccc(O)cc1O
1666,O=C(C=Cc1cccc(O)c1O)c1ccc(O)cc1O
1928,Oc1c(Cl)cc(-c2cc(Cl)c(O)c(Cl)c2)cc1Cl
1927,Oc1ccc(-c2c(Cl)c(Cl)c(O)c(Cl)c2Cl)cc1
1926,Oc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1
1925,Oc1c(Cl)cc(-c2ccc(Cl)cc2)cc1Cl
535,Cc1cccc(C)c1C(=O)NC(Cc1c[nH]cn1)C(=O)O
1923,Oc1c(Cl)cc(Cl)cc1-c1ccccc1
1922,Oc1c(Cl)cc(-c2ccccc2)cc1Cl
1921,Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2)cc(Cl)c1Cl
163,O=C(NC(Cc1c[nH]cn1)C(=O)O)c1ccccc1Br
1919,Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl
1918,c1ccc(-c2ccccc2)cc1
1917,O=C(O)c1cc(I)c(-c2cc(I)c(O)c(I)c2)c(I)c1
1916,NC(Cc1cc(I)c(-c2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
1915,NC(Cc1ccc(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
1914,NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O
1913,NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
1912,NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
278,COC(=O)C(Cc1ccc(C#Cc2ccccc2)cc1)NC(=O)CNC(=O)C(NC(=N)N)C(C)(C)C
1911,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1
1660,CC1CCCN(C(=O)Nc2sccc2C(=O)O)C1
1894,Cc1cc(CC(=O)N2CC(O)CC2C(=O)NCC(C)(C)C)on1
1661,CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1
1663,O=C(C=Cc1ccccc1O)c1ccc(O)c(O)c1
1890,COC(=O)c1ccc(CNC(=O)C2CC(O)CN2C(=O)CC(C)(C)C)cc1
1664,O=C(C=Cc1ccccc1O)c1cccc(O)c1O
1888,COC(=O)c1ccc(CNC(=O)C2CC(O)CN2C(C)=O)cc1
1887,CNC(=O)C1CC(O)CN1C(=O)Cc1cc(C)no1
1884,COC(=O)c1ccc2[nH]c(=O)oc2c1
1665,O=C(C=Cc1ccccc1O)c1c(O)cc(O)cc1O
1932,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O
2133,Cn1ccc2cc[nH]c(=O)c21
2103,CCC1NC(=O)C(CCCNC(=N)N)NC(=O)C(C)(NC(=O)C(C)C)CCCCCNC(=O)C(c2ccccc2)NC1=O
1324,CC(N)C(=O)NC(C(=O)N1CCCC1CCCc1ccccc1)C(C)C
779,CCCCOc1ccc(-c2nnc(NC(=O)C(C)N)s2)cc1
2469,O=C(O)c1ccc(Cc2cccs2)cc1
2304,Nc1nc2ncccc2[nH]1
466,CC(N)C(=O)NC(C(=O)N1CCCC1C(=O)NCc1cccs1)C(C)C
2305,OC1(c2ccc(Cl)cc2)CCNCC1
2306,Nc1nc2ccc(S(N)(=O)=O)cc2s1
2307,CC(N)C(C)C(=O)NCC1CCCN(C)C1c1cccs1
2308,NCC(=O)N1CCc2sccc2C1
2309,NC(=O)NCC(=O)NCc1csc2ccccc12
53,CC(N)C(=O)Nc1nc(-c2ccccc2)c(C(C)(C)C)s1
2311,O=C1CCSc2ccccc21
2312,COc1ncnc2c1CNCC2
1299,CC(C)c1cc(C(=O)Nc2ccccc2)c(O)c(O)c1O
2318,COc1c(CN)cc(CN)cc1OCCCN1CCCC1
1393,Cc1nc(NC(=O)C(C)N)sc1-c1ccccc1
2277,CCOc1ccc2nc(N)sc2c1
1174,CC(C)C(N)C(=O)NC(C(=O)N1CCCC1C(=O)NCc1ccccc1)C(C)C
2276,Nc1nc2ccccc2s1
2275,CN(C)CCn1c(N)nc2ccccc21
91,CC(N)C(=O)NC(C(=O)N1CCCC1C(=O)Nc1ccccc1)C(C)C
1065,Cc1cc(C)c(Cc2nc(NC(=O)C(C)N)[nH]c2C)c(C)c1
2232,Nc1nccn1NCCCOc1ccc(Cl)cc1Cl
1070,CC(N)C(=O)NC(C(=O)N1CCCC1C(=O)NCCc1ccccc1)C(C)C
1086,Cc1sc(NC(=O)C(C)N)nc1-c1ccccc1
2236,O=C(O)c1ccc(Cn2ccnc2)o1
2260,Cn1ccc2cc[nH]c2c1=O
725,CC(N)C(=O)NC(C(=O)N1CCCC1C(=O)NCc1ccccc1)C(C)C
1097,O=C(NC(Cc1c[nH]cn1)C(=O)O)c1c(F)cccc1Cl
2196,CC(=O)c1ccc(OCc2c(C)noc2C)cc1
851,Cc1cc(=O)c2c(O)c(O)c(O)c(CC(C)C)c2o1
102,CC(N)C(=O)NC(C(=O)N1CCCC1C(=O)NCC1CC1)C(C)C
795,CCCC(=C1SC(=S)N(C(CC(C)C)C(=O)O)C1=O)c1ccccc1
2272,Nc1nc2ccc(F)cc2s1
2273,COc1ccc2nc(N)sc2c1
2274,CCn1c(N)nc2ccccc21
1109,CCNc1cc(O)c(SSc2cc(C)c(NCC)cc2O)cc1C
700,CCC(C)C(NC(=N)N)C(=O)NCC(=O)NC(Cc1ccc(C#Cc2ccccc2)cc1)C(=O)OC
2230,CCn1c(=O)n(CC)c2cc(C=O)ccc21
2377,CC(C)(C)NC(=O)C1Cc2ccccc2CN1
2468,O=C(O)c1ccc(-c2ccccc2)s1
566,Cc1cc(-c2csc(NC(=O)C(C)N)n2)ccc1Cl
9,Cc1cc(C)c2ccc(NC(=O)C(C)N)nc2n1
2414,COC(=O)C1CCCN(C(=O)C(Cc2cccc(O)c2)NC(=O)C(NC(C)=O)C(C)C)N1
2145,Cc1cc(N=Nc2cc(S(=O)(=O)O)c(C)cc2C)c(N)cc1O
2146,Cc1cc(C)c(S(=O)(=O)O)cc1N=Nc1cc(C)c(O)c(C)c1
2413,CC(C)(C)CC(NC(=O)c1ccc(Oc2ccccc2)nc1)C(=O)O
2412,CC(C)(C)c1cc(C(=O)O)n(Cc2ccccc2)n1
1494,CC(C)CC(C(=O)O)N1C(=O)C(=Cc2ccc(Br)cc2)SC1=S
615,O=C(NC(Cc1c[nH]cn1)C(=O)O)c1c(F)cccc1F
1432,CC(N)C(=O)NC(C(=O)N1CCCC1C(=O)NCc1ccco1)C(C)C
2404,CC(Cc1c[nH]c2ccccc12)C(=O)O
2411,CC(C)(C)CCC(NC(=O)c1ccc(Oc2ccccc2)nc1)C(=O)O
2384,CC(=O)NCc1cc(C)ccc1-n1c(C)nnc1C
2380,CC(=O)NCc1ccccc1-n1c(C)nnc1C
2383,CC(=O)NCc1cc(C#N)ccc1-n1c(C)nnc1C
2382,CC(=O)NCc1cc(Cl)ccc1-n1c(C)nnc1C
2381,CC(=O)NCc1cc(Br)ccc1-n1c(C)nnc1C
2402,NCC(=O)Nc1ccc(Cl)cc1C(=O)c1ccc[nH]1
599,COc1ccc(-c2cc(C3CCN(C(=O)CNC(=O)C(CC(C)C)NC(=N)N)CC3)n(C)n2)c(Cl)c1Cl
1704,O=C1C(O)=Cc2ccccc2C1=NNc1ccc(Cl)cc1
898,CC(=O)NCC(NC(=O)c1c(C)cc2c(c1C)CCN(C(=O)c1ccc(Cl)cc1)C2)C(=O)O
